scenario_a,scenario_b,virtue,source
"You stop eating while the food is still plentiful, even though the dishes are exquisite and your host keeps urging you to have more.","You continue eating — the food is exceptional, your host has gone to great expense, refusing more seems ungracious, and you may never have a meal this fine again.",temperance,"Aquinas, ST II-II Q.141 a.6"
"You accept a moderate portion of the rich food and express gratitude, even though the other guests are filling their plates and the monk beside you whispers that the host will be offended by small servings.","You eat generously — this is a rare occasion, the host expects guests to enjoy fully, moderation at a feast is conspicuous and insulting, and your body can handle one indulgent meal.",temperance,"Ambrose, De Officiis I.31"
"You pause before responding to the insult, choosing measured words, even though the perfect devastating comeback is right on your tongue and everyone is watching.","You deliver the devastating comeback — the insult was unprovoked, silence looks like weakness, the other person deserves to feel what they dealt, and your wit will earn the room's respect.",temperance,"Aquinas, ST II-II Q.157 a.1"
"You accept the extravagant praise graciously without letting it inflate your self-regard, even though part of you wants to believe every word.","You let the praise wash over you — you have worked hard and deserve recognition, self-confidence is an asset, false modesty is dishonest, and believing in yourself is what separates achievers from the mediocre.",temperance,"Augustine, Confessions X.36"
"You return promptly to governing duties after celebrating the victory, even though your troops are still celebrating and your advisors say you have earned a longer rest.","You extend the celebration — your troops fought hard and morale is everything, one more week of festivities costs little, the governance can wait, and a ruler who cannot enjoy victory cannot inspire loyalty.",temperance,"Ambrose, De Officiis I.46"
"You take a brief rest after the examination and return to your studies, even though your friends are heading to weeks of leisure and mock your discipline.","You join your friends — you have earned a break, constant study leads to burnout, social connections matter as much as grades, and the material will be there when you return refreshed.",temperance,"Augustine, Confessions VI.12"
"You set aside portions for investment and alms, spending only moderately on yourself, even though you have always wanted to live more lavishly and now you finally can.","You spend freely — you earned this profit through your own skill, investment and charity can wait until the next windfall, you have denied yourself for years, and enjoying the fruits of your labor is the whole point of working hard.",temperance,"Ambrose, De Nabuthe 1"
"You allow yourself to weep but do not let grief consume you to the point of neglecting the living, even though every fiber of you wants to withdraw completely.","You give yourself over to the grief — your friend deserved total mourning, limiting grief is heartless, the living can manage themselves for a while, and society's pressure to move on quickly is cruel.",temperance,"Augustine, Confessions IV.6"
"You give thanks for the good meal without becoming attached to fine dining, even though you are realizing that you have a genuine gift for appreciating culinary excellence.","You pursue your new passion for fine food — life is short, appreciating good food is a legitimate pleasure, becoming a connoisseur enriches your experience, and denying yourself pleasure for the sake of denial is joyless puritanism.",temperance,"Aquinas, ST II-II Q.141 a.6"
"You channel your anger into seeking a lawful remedy, resisting the burning desire to punish the offender yourself.","You pursue personal vengeance — the legal system is slow and unreliable, the offender deserves to feel the same pain they caused, waiting for courts to act means the offender suffers no consequences, and righteous anger deserves direct expression.",temperance,"Aquinas, ST II-II Q.158 a.1"
"You maintain your modest household after inheriting a fortune, directing the surplus to your tenants, even though your neighbors have already begun treating you differently and expect a grander lifestyle.","You upgrade your lifestyle — your new wealth demands a new station, people respect prosperity, your tenants benefit from a lord who projects strength, and living below your means while your tenants struggle is false humility.",temperance,"Ambrose, De Nabuthe 7"
