scenario_a,scenario_b,virtue,source
"You hold your position in the battle line as the enemy charges, even though the man next to you has already broken and run, and every instinct tells you to follow.","You fall back with the others — the line is already collapsing, standing alone is suicide not bravery, you can regroup and fight another day, and dead soldiers win no battles.",courage,"Aquinas, ST II-II Q.123 a.5"
"You publicly rebuke the emperor for the massacre, knowing he could have you arrested, exiled, or killed, and that your church will suffer retaliation.","You remain diplomatically silent — confronting the emperor endangers the entire church, you can do more good alive and in his favor, private counsel is more effective than public humiliation, and the massacre cannot be undone.",courage,"Ambrose, Ep. 51 (to Theodosius)"
"You refuse to renounce your faith before the tribunal, accepting imprisonment or worse, even though your family begs you to say the words and come home.","You renounce publicly — the words are just words, you can believe privately, your family needs you alive, the tribunal does not care about your real beliefs, and martyrdom is vanity when your children will grow up without a parent.",courage,"Augustine, City of God I.22"
"You continue praying for your wayward son year after year with no visible sign of change, even as friends tell you to accept reality and stop tormenting yourself.","You accept that he will not change — decades of prayer have produced nothing, continuing is denial not faith, your emotional energy is better spent on your other children, and some people simply choose their own path.",courage,"Augustine, Confessions III.11"
"You endure the forced march without complaint, sustaining morale around you, even though your feet are bleeding and the man behind you is sobbing.","You voice your suffering — the commanders need to know what they are asking, silence enables abuse, someone must speak for the men who are breaking, and a march that kills its soldiers before they reach the enemy is no march at all.",courage,"Aquinas, ST II-II Q.128 a.1"
"You continue ministering to plague victims, knowing that every visit increases the likelihood you will contract the disease and die.","You withdraw to safety — a dead priest helps no one, you can minister to the healthy and the survivors, the plague will pass, and your training took years that the church cannot easily replace.",courage,"Ambrose, De Officiis I.36"
"You defend your innocence with dignity before the court, even though your accusers are powerful, your witnesses have been intimidated into silence, and your lawyer has quit.","You confess to crimes you did not commit — the trial is a formality, the verdict is already decided, a guilty plea gets a lighter sentence, your family suffers less with a quick resolution, and the truth will not save you.",courage,"Augustine, City of God I.8"
"You take on difficult labor to feed your children despite being left destitute, enduring exhausting work beneath what you were raised to do.","You leave the children with relatives — you cannot provide for them, the relatives are more stable, the children deserve better than what you can offer, and forcing yourself through degrading labor helps no one.",courage,"Ambrose, De Viduis 4"
"You persist in your philosophical studies despite your peers' mockery, knowing your career prospects diminish with each year you spend reading instead of earning.","You abandon philosophy for something practical — your peers are right that scholars starve, your family needs income, the world rewards doers not thinkers, and you can always read philosophy in your spare time.",courage,"Augustine, Confessions III.4"
"You refuse to make even a small symbolic offering to the Roman gods, even though the magistrate says it is a mere formality and you will be immediately released.","You make the offering — it is a meaningless gesture, God sees your heart, your family needs you, the church needs its leaders alive, and a trivial act that saves your life is not a real betrayal.",courage,"Augustine, City of God I.22"
"You fight a disciplined retreat to save as many men as possible, even though retreat brings shame and the enemy will call you a coward.","You surrender the company — further resistance means more of your men die, the enemy has offered honorable terms, your duty is to your soldiers' lives not to your reputation, and prisoners can be exchanged.",courage,"Aquinas, ST II-II Q.123 a.5"
"You endure years of spiritual dryness without abandoning your vocation, even though every morning you wake feeling nothing and the work feels meaningless.","You leave — the dryness has lasted years, you have given this life a fair chance, you feel nothing, continuing to go through motions without conviction is dishonest, and there is no shame in admitting something is not for you.",courage,"Augustine, Confessions VIII.11"
"You ride to the front line to steady your wavering troops, knowing that a commander at the front is the first target for enemy archers.","You direct from the rear where you can see the full battle — a dead commander helps no one, your tactical view is better from behind the lines, your officers can rally the men, and the army needs your judgment more than your sword arm.",courage,"Ambrose, De Officiis I.40"
"You continue hiding the fugitive you believe is innocent, even though authorities have posted a reward for information and your neighbors are suspicious.","You turn him in — your own family is at risk, the authorities may be right about his guilt, you cannot know for certain he is innocent, the reward would help your family, and harboring a fugitive is itself a crime.",courage,"Augustine, City of God I.8"
"You publish your unpopular argument knowing your academic career may be over and your peers will ostracize you.","You suppress your findings — the conclusion is correct but the world is not ready, publishing now will destroy your platform, you can plant the seeds through other people's work, and a scholar with no position has no influence.",courage,"Augustine, Confessions VII.9"
"You negotiate a surrender that preserves your soldiers' lives, even though the surrender will be recorded as a defeat bearing your name for all of history.","You order a final charge — death in battle is honorable, surrender is disgrace that follows your family for generations, your soldiers would rather die fighting, and a glorious last stand may yet turn the tide.",courage,"Aquinas, ST II-II Q.123 a.5"
"You organize the villagers to build defenses, even though the bandits may arrive before the defenses are complete and you have made yourself the primary target.","You gather your family and flee — the bandits will take what they want and leave, fighting untrained villagers against armed bandits is irresponsible, your family is your first duty, and the village will recover from a raid but not from a massacre.",courage,"Ambrose, De Officiis I.36"
"You endure imprisonment without revealing the names of those entrusted to your care, even though your captors offer freedom in exchange.","You give the names — your captors will find them eventually, your suffering accomplishes nothing, the people you are protecting would want you to save yourself, and information extracted under duress is expected and forgiven.",courage,"Augustine, City of God I.9"
"You accept the harsh assignment to the freezing hermitage without complaint, even though other assignments are available and no one would blame you for requesting one.","You petition for reassignment — the posting is unnecessarily harsh, your health matters, you can serve better in a temperate climate, and accepting misery for its own sake is not virtue but masochism.",courage,"Aquinas, ST II-II Q.128 a.1"
