scenario_a,scenario_b,virtue,source
"You pay the laborers the wage you promised, even though a surplus of desperate workers means you could renegotiate for far less and no one would blame you.","You renegotiate the wage downward — the market has shifted in your favor, every other landowner is paying less, your steward says you would be foolish not to, and the laborers have no alternative.",justice,"Aquinas, ST II-II Q.61 a.1"
"You sentence the nobleman to the same penalty as the commoner, knowing the nobleman's family will become your lifelong enemy and may use their influence to end your career.","You give the nobleman a lighter sentence — his family's goodwill is invaluable, the commoner's family has no power to object, the nobleman has already suffered the humiliation of trial, and a pragmatic judge survives longer than a rigid one.",justice,"Aquinas, ST II-II Q.63 a.1"
"You levy taxes proportionally so the wealthy bear more, even though the wealthiest citizens fund your campaigns and have threatened to withdraw their support.","You levy a flat tax — it is simpler to administer, treats everyone equally on paper, the wealthy citizens who fund your government approve, and the poor are accustomed to hardship.",justice,"Ambrose, De Nabuthe 1"
"You return the surplus goods to the supplier, losing items worth a month's income that arrived through no fault of your own.","You keep the surplus — the supplier's carelessness is not your problem, your warehouse is already stocked, reporting the error creates paperwork and delays, and the supplier is a large company that will never notice.",justice,"Aquinas, ST II-II Q.62 a.1"
"You divide your estate equally among all your children, angering your eldest son who expected the customary larger share and whose support you need in your declining years.","You give the eldest the traditional larger share — custom supports it, he will manage the estate and needs resources to do so, the younger children can make their own way, and your eldest will care for you in old age.",justice,"Ambrose, De Officiis I.28"
"You ensure conquered peoples retain their property rights and fair laws, even though your soldiers expect plunder and your generals warn that generosity toward the defeated breeds future rebellion.","You strip the conquered of their property — your soldiers fought for this reward, the treasury needs replenishment, the defeated must learn the cost of resistance, and every successful empire has enriched itself through conquest.",justice,"Augustine, City of God XIX.15"
"You free the slave as the covenant requires when his term expires, losing your most skilled and productive worker.","You find a legal technicality to extend the servitude — this worker is irreplaceable, training a replacement will take years, the technicality is legitimate, and the worker himself seems content enough to continue.",justice,"Ambrose, De Officiis I.28"
"You melt down sacred vessels to ransom captives, knowing the congregation will be furious and your rivals will accuse you of destroying the church's patrimony.","You preserve the sacred vessels — they have been consecrated to God, the captives' families should raise the ransom themselves, the congregation donated these specifically for the church, and your successor will inherit an impoverished institution.",justice,"Ambrose, De Officiis II.28"
"You extend the debtor's repayment period without increasing the debt, absorbing the financial loss yourself.","You demand immediate full repayment — a contract is a contract, the fire was not your fault, showing leniency encourages others to default, and your own creditors will not extend the same mercy to you.",justice,"Ambrose, De Nabuthe 5"
"You distribute captured supplies equally, including to the wounded who could not fight, even though your able-bodied soldiers resent sharing with those who did not risk their lives in the battle.","You distribute only to those who fought — they earned it, the wounded are already receiving medical care, rewarding those who did not fight discourages bravery, and your best soldiers are threatening to desert if they see their share reduced.",justice,"Aquinas, ST II-II Q.61 a.2"
"You grant citizenship to immigrants who have lived peacefully and contributed for years, even though native citizens protest that newcomers are taking jobs and diluting the culture.","You deny citizenship permanently — the native citizens elected you, their concerns about jobs and culture are legitimate, the immigrants can remain as guests, and opening citizenship creates an incentive for more to come.",justice,"Augustine, City of God XIX.17"
"You resolve the boundary dispute by surveying the land and applying the deed, even though the process is expensive and the losing party happens to be your ally.","You award the land to the party who offers you a private gift of gratitude — both claims are roughly equal, someone has to lose, your ally has other lands, and the gift will fund improvements the whole community benefits from.",justice,"Aquinas, ST II-II Q.63 a.1"
"You hear the widow's case with full attention, even though she has no advocate, no documentation, and her case will take hours that could be spent on the docket of paying litigants.","You hear her briefly and move on — your docket is full, the paying litigants fund the court's operations, the widow's case is probably hopeless without documentation, and spending hours on a single indigent case is not how courts survive.",justice,"Ambrose, De Nabuthe 1"
"You subject your own son to the same legal process for theft, even though the public scandal will damage your dynasty and your son may never forgive you.","You handle the matter privately — your son has learned his lesson, public prosecution would destroy the family's reputation for a minor offense, the victim can be quietly compensated, and every great family manages these things discreetly.",justice,"Augustine, City of God V.18"
"You pay the journeyman the full fair value of his work, even though he would accept less and the difference comes directly from your own profit.","You pay the lower amount the journeyman accepts — you offered, he accepted, that is how markets work. Paying more than he asks undermines the entire system of negotiation and makes you look foolish to your peers.",justice,"Aquinas, ST II-II Q.77 a.1"
"You pool community resources for a shared well with contributions proportional to means, even though the wealthiest families object to subsidizing others.","You let the wealthy family build a private well and charge for access — they took the initiative, they bear the cost, the water is cleaner than the stream, and a market for water incentivizes further investment in infrastructure.",justice,"Ambrose, De Nabuthe 3"
"You assign yourself the hardest manual labor, even though your position entitles you to delegate and the work leaves you too exhausted for your administrative duties.","You assign the hard labor to the youngest members — they have the most energy, the hierarchy exists for a reason, your administrative duties require your full attention, and physical labor builds character in the young.",justice,"Aquinas, ST II-II Q.63 a.2"
"You spend extra time with struggling students, even though the gifted students deserve enrichment, their parents donate more, and administrators measure you on the achievements of your best pupils.","You focus on the gifted students — they will go furthest, their success reflects best on your school, their families fund scholarships, and struggling students have many available remedial resources.",justice,"Augustine, De Catechizandis Rudibus 15"
"You sell at the same fair price to the desperate buyer, losing the higher profit you could easily extract.","You raise the price for the desperate buyer — the market sets prices based on demand, his urgency is not your fault, every merchant charges what the market bears, and the extra profit feeds your own family.",justice,"Aquinas, ST II-II Q.77 a.1"
"You pardon former opponents and restore their confiscated property, even though your supporters who fought for you expect those properties as reward.","You keep the confiscated property and distribute it to your supporters — they earned it with their blood, generosity to enemies insults those who sacrificed for you, and weakening former opponents prevents future rebellion.",justice,"Augustine, City of God V.19"
"You correct the underpayment error and pay the difference, even though the worker never noticed and the correction requires explaining the mistake to your accountant.","You keep silent — the error was small, the worker is satisfied with his pay, correcting it creates paperwork, your accountant will question your bookkeeping, and the worker will wonder what else you might have gotten wrong.",justice,"Aquinas, ST II-II Q.62 a.1"
"You discipline each child individually based on their nature and the severity of the offense, which requires deep knowledge of each child and invites accusations of inconsistency.","You apply identical punishments for every offense — it is transparently fair, no child can claim favoritism, the rules are simple and consistent, and individual judgment introduces bias you cannot fully control.",justice,"Aquinas, ST II-II Q.63 a.4"
"You maintain the public granary even though wealthy citizens want the funds redirected to civic monuments that would bear their names.","You redirect the funds to civic monuments — the wealthy donors will increase their contributions, the monuments attract trade and prestige, the poor have survived lean years before, and visible improvements benefit everyone's property values.",justice,"Ambrose, De Nabuthe 7"
"You refuse the bribe and rule according to the evidence, knowing the powerful family will make your life miserable and may have you removed from the bench.","You accept the bribe — the evidence is ambiguous enough to justify either ruling, the family will become a powerful ally, the money solves your own financial troubles, and judges who antagonize the powerful do not remain judges.",justice,"Aquinas, ST II-II Q.63 a.1"
