scenario_a,scenario_b,virtue,source
"You delay your decision to weigh each advisor's position carefully, even though the court grows visibly impatient and your rivals whisper that you are indecisive and weak.","You side immediately with your most powerful advisor, winning his loyalty and projecting the image of a decisive ruler to the court.",prudence,"Aquinas, ST II-II Q.47 a.8"
"You disclose the defect to the buyer and accept a lower price, losing a significant portion of today's profit.","You sell the goods as they are — the buyer inspected them and seemed satisfied, and the flaw is subtle enough that it may never matter. You keep the full profit.",prudence,"Aquinas, ST II-II Q.47 a.1"
"You take weeks to consult trusted elders and reflect on the match, frustrating the suitor who says he cannot wait and may withdraw his offer.","You accept the proposal immediately — the suitor is wealthy, charming, and your family is eager. Everyone says this is the best offer you will ever receive.",prudence,"Aquinas, ST II-II Q.47 a.3"
"You choose the longer alternative route, knowing your soldiers will grumble and your superiors may question why the campaign is taking so long.","You order the direct assault through the mountain pass — it is the fastest route, your soldiers are eager for action, and a swift victory will bring you commendation from the emperor.",prudence,"Aquinas, ST II-II Q.48 a.1"
"You investigate the accusations thoroughly, even as the crowd outside the chancery grows louder and your fellow bishops urge you to act swiftly to contain the scandal.","You condemn the priest publicly — the evidence seems damning, the crowd demands it, and swift action will protect the institution's reputation and your own standing.",prudence,"Ambrose, De Officiis I.24"
"You let your son make small mistakes and learn slowly, even though his progress lags behind the other apprentices and people question your teaching methods.","You have your son memorize the procedures rigidly — he produces work faster than any other apprentice, and clients are impressed by his quick output even if he understands nothing of why he does what he does.",prudence,"Aquinas, ST II-II Q.49 a.3"
"You refuse the bribe and ensure the trial proceeds lawfully, knowing the guilty man's powerful family will become your enemy and may work to have you removed from office.","You accept the bribe — the crime was genuinely minor, the man's family will be grateful and become useful allies, and you can use the money for legitimate purposes that benefit the community.",prudence,"Ambrose, De Officiis I.25"
"You read widely across many philosophical schools, testing each claim carefully, even though your progress is slow and your classmates who committed early are already publishing and gaining recognition.","You commit fully to the most prestigious school of thought — your professors approve, you publish quickly, and you gain a reputation as a promising young scholar. The contradictory evidence can be dealt with later.",prudence,"Augustine, De Doctrina Christiana II.40"
"You tell the king the uncomfortable truth about the kingdom's finances, knowing he may be displeased and that the flatterers around you will use his anger to undermine your position.","You present the financial situation optimistically — the king rewards advisors who bring good news, and by the time the real numbers become apparent, circumstances may have changed or someone else can deliver the bad news.",prudence,"Ambrose, De Officiis I.24"
"You admit uncertainty and consult other physicians, even though it makes you appear less competent and the patient's family is already losing confidence in you.","You prescribe a treatment you have used successfully for other ailments — the patient needs something now, you will appear confident and decisive, and most patients recover on their own regardless.",prudence,"Aquinas, ST II-II Q.47 a.3"
"You harvest your crops early based on subtle weather signs, even though your neighbors mock your caution and you will get a lower price for the less-ripe grain.","You wait for the grain to fully ripen as your neighbors are doing — last year the frost came late, the market price for ripe grain is significantly higher, and no one wants to be the fool who harvested too early.",prudence,"Aquinas, ST II-II Q.49 a.7"
"You gently redirect your child toward better friendships over several months, a slow process that shows no immediate results and makes you wonder if you are being effective.","You forbid the friendships outright — the bad influences stop immediately, your child is safe at home, and other parents praise your firm discipline.",prudence,"Augustine, Confessions I.11"
"You seek your abbot's counsel about your doubts, risking the embarrassment of admitting weakness and potentially being told you are failing in your vocation.","You leave quietly in the night — the spiritual dryness has lasted months, you owe these people nothing, and a fresh start elsewhere will bring the peace you cannot find here.",prudence,"Augustine, Confessions VIII.11"
"You reduce speed and take soundings in the unfamiliar channel, adding hours to the voyage while your impatient passengers complain and the ship's owner calculates lost revenue.","You maintain speed through the channel — it looks deep enough, you have navigated similar waters before, and arriving on time will earn you the owner's continued business and a bonus.",prudence,"Aquinas, ST II-II Q.49 a.1"
"You conduct a thorough cost-benefit analysis of the road project including long-term impacts, delaying construction by months while neighboring provinces build theirs and gain the trade advantages first.","You build along the cheapest route immediately — your province needs the road now, the merchants are clamoring for it, and your political rivals will claim credit if you delay any longer.",prudence,"Aquinas, ST II-II Q.47 a.1"
"You pause the lesson and spend time finding a concrete example, falling behind the syllabus and knowing you will need to rush later material.","You repeat the explanation more firmly — the curriculum is already behind schedule, the administrators evaluate you on material covered, and the struggling students simply need to pay better attention.",prudence,"Augustine, De Catechizandis Rudibus 12"
"You consider mitigating circumstances and reduce the sentence, knowing the public will accuse you of being soft on crime and your rivals will use the decision against you in the next election.","You apply the maximum penalty — the law is clear, the public demands harsh justice, and your reputation as a tough judge is the foundation of your career.",prudence,"Aquinas, ST II-II Q.47 a.6"
"You listen to both families separately, a process that takes days and frustrates both sides, who each accuse you of favoring the other by not deciding immediately.","You side with the family you know better — they are more trustworthy in your experience, the other family has a reputation for troublemaking, and a quick resolution is what everyone needs.",prudence,"Ambrose, De Officiis I.24"
"You delay the project to inspect the foundation, losing a week of building time and causing the client to threaten to hire another builder.","You add the second story without inspection — the house has stood for decades, the client is paying a premium for speed, and questioning the foundation insults the original builder.",prudence,"Aquinas, ST II-II Q.49 a.7"
"You select the most capable monk as prior, even though he is outspoken and likely to challenge your decisions, and your personal favorite is visibly hurt by the choice.","You select the monk most personally devoted to you — he will be loyal, the transition will be smooth, the community already expects you to choose your protege, and a challenging prior will make your own position more difficult.",prudence,"Ambrose, De Officiis I.25"
